serialNumber,iaq,timestamp,eVOC,bearing,pressure,humidity,altitude,batteryPercent,eCO2,deviceId,luminance,iaqAccuracy,temperature,userId
m3wjc22wyh88,26.25821,1601472920370,0.516813,110,96636,48.70493,397.9167,102,508.7516,fFrU8brLxN5Wea7PQwJg,1505,3,24.01485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,45.11211,1600298418320,0.598574,106,97255,51.65095,344.5034,97,547.6152,fFrU8brLxN5Wea7PQwJg,0,3,23.65485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,110.4973,1603408525071,2.756342,102,96995,59.63754,366.9049,99,1379.269,fFrU8brLxN5Wea7PQwJg,0,3,22.18985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,33.03767,1600815608167,0.558945,-177,96366,48.48293,421.3016,93,529.4891,I1t2t86ZQoGIAv1i30r9,53,3,24.00985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,103.146,1602284726772,3.236914,-174,97286,60.93303,341.8357,53,1485.587,I1t2t86ZQoGIAv1i30r9,0,3,23.24985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,96.00585,1599485712774,1.423911,106,97443,35.8718,328.3354,97,942.329,fFrU8brLxN5Wea7PQwJg,2966,3,26.95485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,38.56898,1602424224481,0.664674,155,97072,44.8279,360.2658,47,575.3323,I1t2t86ZQoGIAv1i30r9,280,3,22.31985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,69.24167,1598650218820,1.176756,-30,95994,50.89144,453.608,97,816.2109,UefkqbOojs07AR21i0ix,64,3,23.64485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,44.53035,1602425122327,0.75004,154,97072,45.1939,360.2658,46,607.3053,I1t2t86ZQoGIAv1i30r9,327,3,22.39485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,36.13565,1600387515473,0.694042,-138,97188,51.97894,350.2711,97,586.7728,So15xXTTj0GAoVeomUCA,0,3,24.95985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,33.05728,1601593815099,0.579025,-11,95498,55.04199,496.8413,85,538.8287,UefkqbOojs07AR21i0ix,0,3,22.16985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,61.0043,1601070614666,1.007454,-64,95722,39.66736,477.2939,109,713.4517,UefkqbOojs07AR21i0ix,0,3,22.09985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,153.0813,1600713916639,1.956066,132,96721,45.03138,390.5653,97,1152.384,fFrU8brLxN5Wea7PQwJg,35,3,27.52485,ztx11HwFoJPuDJd1p7lLilvvkjg2
